1,.2604,.5665,.5620,.5020,.2499,.2391,.2204,.1262,.1255,.1022,.0663,.0659,.0317,.0229,.0274,.0274,.0248,.0159,.0159,.0159,.0156,.0137,.0137,.0135,.0071,.0015,.0015,.0010,.0010,.0013,.0010,.0007,.0007,.0007,.0007,.0007,.0007,.0004,.0004,.0004,.0004,.0006,.0006,.0006,.0005,.0012,.0009,.0009,.0009,.0009,.0017,.0004,.0004,.0004,.0002,.0002,.0002,.0002,.0002,.0010,.0010,.0010,.0010,.0018,.0004,.0004,.0004,.0004,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,0,0
.2604,1,.5665,.5620,.5020,.2499,.2391,.2204,.1262,.1255,.1022,.0663,.0659,.0317,.0229,.0274,.0274,.0248,.0159,.0159,.0159,.0156,.0137,.0137,.0135,.0071,.0015,.0015,.0010,.0010,.0013,.0010,.0007,.0007,.0007,.0007,.0007,.0007,.0004,.0004,.0004,.0004,.0006,.0006,.0006,.0005,.0012,.0009,.0009,.0009,.0009,.0017,.0004,.0004,.0004,.0002,.0002,.0002,.0002,.0002,.0010,.0010,.0010,.0010,.0018,.0004,.0004,.0004,.0004,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,0,0
.5665,.5665,1,.3445,.3673,.3012,.2907,.2818,.1668,.1662,.1402,.0520,.0518,.0280,.0215,.0242,.0242,.0231,.0145,.0145,.0144,.0142,.0136,.0136,.0135,.0073,.0022,.0021,.0016,.0016,.0018,.0016,.0015,.0015,.0015,.0015,.0015,.0015,.0015,.0015,.0015,.0015,.0014,.0014,.0014,.0012,.0011,.0009,.0009,.0009,.0009,.0014,.0003,.0003,.0003,.0002,.0002,.0002,.0002,.0002,.0009,.0009,.0009,.0009,.0015,.0004,.0004,.0004,.0004,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0001,.0001,.0001,.0001,.0001,0,0
.5620,.5620,.3445,1,.4112,.3262,.3155,.3052,.1871,.1862,.1445,.0551,.0549,.0283,.0217,.0245,.0245,.0233,.0146,.0146,.0146,.0143,.0137,.0137,.0136,.0073,.0014,.0014,.0009,.0009,.0011,.0009,.0009,.0009,.0009,.0009,.0009,.0009,.0008,.0008,.0008,.0008,.0008,.0008,.0008,.0007,.0011,.0009,.0009,.0009,.0009,.0014,.0003,.0003,.0003,.0002,.0002,.0002,.0002,.0002,.0009,.0009,.0009,.0009,.0015,.0004,.0004,.0004,.0004,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.0001,.0001,.0002,.0002
.5020,.5020,.3673,.4112,1,.5472,.5225,.4965,.3097,.3086,.2299,.0636,.0635,.0335,.0270,.0290,.0290,.0271,.0182,.0182,.0182,.0179,.0173,.0173,.0175,.0112,.0027,.0026,.0020,.0020,.0022,.0019,.0019,.0019,.0018,.0018,.0018,.0018,.0018,.0018,.0018,.0021,.0020,.0017,.0020,.0018,.0023,.0021,.0035,.0035,.0035,.0019,.0003,.0003,.0003,.0002,.0002,.0002,.0002,.0002,.0037,.0037,.0037,.0037,.0020,.0004,.0004,.0004,.0004,.0002,.0002,.0002,.0002,.0002,.0001,.0001,.0001,.0001,.0001,.0006,.0006,.0004,.0004
.2499,.2499,.3012,.3262,.5472,1,.5693,.6951,.6201,.6182,.5233,.1835,.1829,.1119,.1002,.0859,.0859,.0818,.0383,.0383,.0399,.0370,.0499,.0499,.0514,.0261,.0130,.0133,.0110,.0110,.0107,.0106,.0103,.0103,.0102,.0102,.0101,.0101,.0091,.0091,.0091,.0094,.0084,.0081,.0084,.0073,.0087,.0085,.0108,.0108,.0108,.0100,.0134,.0134,.0134,.0083,.0083,.0083,.0083,.0083,.0121,.0115,.0115,.0115,.0106,.0145,.0145,.0145,.0145,.0086,.0085,.0085,.0085,.0086,.0075,.0075,.0075,.0075,.0075,.0073,.0073,.0025,.0025
.2391,.2391,.2907,.3155,.5225,.5693,1,.6249,.6078,.6058,.5389,.1954,.1949,.1278,.1164,.1007,.1007,.0966,.0475,.0475,.0491,.0460,.0605,.0605,.0620,.0341,.0190,.0193,.0165,.0165,.0161,.0160,.0147,.0147,.0146,.0139,.0139,.0139,.0128,.0128,.0128,.0130,.0120,.0116,.0119,.0103,.0122,.0120,.0142,.0142,.0142,.0144,.0178,.0178,.0178,.0107,.0107,.0107,.0107,.0107,.0157,.0152,.0152,.0152,.0153,.0192,.0191,.0191,.0191,.0110,.0110,.0110,.0110,.0110,.0097,.0097,.0097,.0075,.0075,.0073,.0073,.0025,.0025
.2204,.2204,.2818,.3052,.4965,.6951,.6249,1,.5968,.5948,.5589,.2032,.2026,.1353,.1251,.1069,.1069,.1052,.0518,.0518,.0537,.0507,.0620,.0620,.0635,.0339,.0193,.0196,.0163,.0163,.0159,.0158,.0145,.0145,.0144,.0137,.0137,.0137,.0126,.0126,.0126,.0128,.0118,.0114,.0117,.0102,.0120,.0118,.0149,.0149,.0149,.0142,.0175,.0175,.0174,.0106,.0106,.0106,.0106,.0106,.0165,.0159,.0159,.0159,.0150,.0188,.0189,.0188,.0188,.0110,.0110,.0110,.0110,.0110,.0097,.0097,.0097,.0076,.0076,.0074,.0074,.0026,.0026
.1262,.1262,.1668,.1871,.3097,.6201,.6078,.5968,1,.4773,.7290,.3116,.3096,.2227,.2128,.1705,.1705,.1745,.0785,.0785,.0798,.0773,.0966,.0966,.0982,.0491,.0273,.0276,.0232,.0232,.0229,.0228,.0181,.0181,.0180,.0173,.0173,.0173,.0171,.0171,.0171,.0157,.0148,.0148,.0147,.0127,.0150,.0147,.0160,.0159,.0160,.0188,.0166,.0166,.0166,.0094,.0094,.0094,.0094,.0094,.0178,.0173,.0173,.0173,.0199,.0178,.0179,.0178,.0178,.0098,.0098,.0098,.0098,.0098,.0087,.0087,.0086,.0067,.0067,.0062,.0062,.0023,.0023
.1255,.1255,.1662,.1862,.3086,.6182,.6058,.5948,.4773,1,.7258,.3193,.3171,.2271,.2157,.1753,.1753,.1772,.0805,.0805,.0818,.0793,.0996,.0996,.1011,.0507,.0280,.0283,.0239,.0239,.0235,.0234,.0187,.0187,.0186,.0179,.0179,.0179,.0176,.0176,.0177,.0163,.0154,.0154,.0153,.0132,.0156,.0153,.0165,.0165,.0165,.0196,.0166,.0166,.0165,.0094,.0094,.0094,.0094,.0094,.0184,.0179,.0179,.0179,.0208,.0178,.0178,.0178,.0178,.0098,.0098,.0098,.0098,.0098,.0087,.0087,.0086,.0067,.0067,.0062,.0062,.0023,.0023
